,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
2707114,PIT,PVD,"Pittsburgh, PA","Providence, RI",1310,2130,15,467,2003-05-01,2400193,1617323,40.49150085,-80.23290253,41.7326011657715,-71.4204025268555
2707281,PHL,PVD,"Philadelphia, PA","Providence, RI",2374,3720,31,238,2003-03-01,11575576,1617323,39.871898651123,-75.241096496582,41.7326011657715,-71.4204025268555
2707307,PHL,PVD,"Philadelphia, PA","Providence, RI",208,507,3,238,2003-02-01,11575576,1617323,39.871898651123,-75.241096496582,41.7326011657715,-71.4204025268555
2707376,LGA,PVD,"New York, NY","Providence, RI",560,1632,48,143,2003-02-01,37342640,1617323,40.77719879,-73.87259674,41.7326011657715,-71.4204025268555
2707510,CLE,PVD,"Cleveland, OH","Providence, RI",4509,5000,100,540,2003-06-01,2136026,1617323,41.4117012024,-81.8498001099,41.7326011657715,-71.4204025268555
2707549,EWR,PVD,"Newark, NJ","Providence, RI",2702,3500,70,160,2003-03-01,18671320,1617323,40.6925010681152,-74.168701171875,41.7326011657715,-71.4204025268555
2707630,TPA,PVD,"Tampa, FL","Providence, RI",3539,4658,34,1137,2003-09-01,2522780,1617323,27.9755001068115,-82.533203125,41.7326011657715,-71.4204025268555
2707973,DCA,PVD,"Washington, DC","Providence, RI",2973,4032,28,357,2004-08-01,10317048,1616874,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2707996,DCA,PVD,"Washington, DC","Providence, RI",1406,4080,34,357,2004-01-01,10317048,1616874,38.8521,-77.037697,41.7326011657715,-71.4204025268555
2708009,IAD,PVD,"Washington, DC","Providence, RI",2954,3550,71,372,2004-02-01,10317048,1616874,38.94449997,-77.45580292,41.7326011657715,-71.4204025268555
